Scenario,KeyType,Metric,Run1,Run2,Run3,RecordCount,Connections
read_performance,UUIDV1,read_throughput,577.33,553.86,578.12,100000,4
read_performance,UUIDV1,p50_latency_us,1662.00,1730.00,1661.00,100000,4
read_performance,UUIDV1,p95_latency_us,2150.00,2276.00,2168.00,100000,4
read_performance,UUIDV1,p99_latency_us,2694.00,3015.00,2761.00,100000,4
read_performance,UUIDV1,cache_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,UUIDV1,index_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,UUIDV1,bloom_filter_fp,0.00,0.00,0.00,100000,4
read_performance,UUIDV1,fragmentation,0.00,0.00,0.00,100000,4
read_performance,UUIDV1,read_iops,0.00,0.00,0.00,100000,4
read_performance,UUIDV1,write_iops,0.46,0.44,0.40,100000,4
read_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,100000,4
read_performance,UUIDV1,write_throughput_mb,0.42,0.33,0.34,100000,4
update_performance,SEQUENTIAL,update_throughput,612.85,593.05,600.86,100000,4
update_performance,SEQUENTIAL,p50_latency_us,1593.00,1634.00,1609.00,100000,4
update_performance,SEQUENTIAL,p95_latency_us,1876.00,2011.00,2017.00,100000,4
update_performance,SEQUENTIAL,p99_latency_us,2292.00,2537.00,2417.00,100000,4
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,100000,4
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,100000,4
update_performance,SEQUENTIAL,write_iops,0.79,1.82,1.72,100000,4
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,100000,4
update_performance,SEQUENTIAL,write_throughput_mb,0.64,0.97,1.00,100000,4
update_performance,UUIDV4,update_throughput,607.60,599.55,592.57,100000,4
update_performance,UUIDV4,p50_latency_us,1604.00,1619.00,1634.00,100000,4
update_performance,UUIDV4,p95_latency_us,1918.00,2008.00,2026.00,100000,4
update_performance,UUIDV4,p99_latency_us,2293.00,2321.00,2537.00,100000,4
update_performance,UUIDV4,fragmentation,0.00,0.00,0.00,100000,4
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,100000,4
update_performance,UUIDV4,write_iops,1.02,1.07,1.70,100000,4
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,100000,4
update_performance,UUIDV4,write_throughput_mb,0.65,0.64,0.99,100000,4
update_performance,UUIDV7,update_throughput,593.02,601.00,598.71,100000,4
update_performance,UUIDV7,p50_latency_us,1640.00,1613.00,1628.00,100000,4
update_performance,UUIDV7,p95_latency_us,1989.00,1967.00,1949.00,100000,4
update_performance,UUIDV7,p99_latency_us,2402.00,2357.00,2299.00,100000,4
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,100000,4
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,100000,4
update_performance,UUIDV7,write_iops,0.88,1.84,1.72,100000,4
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,100000,4
update_performance,UUIDV7,write_throughput_mb,0.62,1.01,1.03,100000,4
update_performance,ULID,update_throughput,584.02,599.60,609.78,100000,4
update_performance,ULID,p50_latency_us,1646.00,1622.00,1600.00,100000,4
update_performance,ULID,p95_latency_us,2120.00,1977.00,1912.00,100000,4
update_performance,ULID,p99_latency_us,2631.00,2404.00,2306.00,100000,4
update_performance,ULID,fragmentation,0.00,0.00,0.00,100000,4
update_performance,ULID,read_iops,0.00,0.00,0.00,100000,4
update_performance,ULID,write_iops,1.67,0.83,0.84,100000,4
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,100000,4
update_performance,ULID,write_throughput_mb,0.97,0.62,0.67,100000,4
update_performance,ULID_MONOTONIC,update_throughput,589.09,610.80,613.11,100000,4
update_performance,ULID_MONOTONIC,p50_latency_us,1638.00,1595.00,1597.00,100000,4
update_performance,ULID_MONOTONIC,p95_latency_us,2017.00,1890.00,1894.00,100000,4
update_performance,ULID_MONOTONIC,p99_latency_us,2698.00,2258.00,2197.00,100000,4
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,100000,4
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,100000,4
update_performance,ULID_MONOTONIC,write_iops,1.75,0.85,0.91,100000,4
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,100000,4
update_performance,ULID_MONOTONIC,write_throughput_mb,1.01,0.65,0.67,100000,4
update_performance,UUIDV1,update_throughput,586.93,594.77,598.87,100000,4
update_performance,UUIDV1,p50_latency_us,1659.00,1629.00,1618.00,100000,4
update_performance,UUIDV1,p95_latency_us,2020.00,2011.00,1983.00,100000,4
update_performance,UUIDV1,p99_latency_us,2454.00,2450.00,2475.00,100000,4
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,100000,4
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,100000,4
update_performance,UUIDV1,write_iops,1.74,1.58,1.06,100000,4
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,100000,4
update_performance,UUIDV1,write_throughput_mb,0.98,0.98,0.62,100000,4
mixed_insert_heavy,SEQUENTIAL,overall_throughput,2905.17,2931.45,2726.88,100000,4
mixed_insert_heavy,SEQUENTIAL,p50_latency_us,955.00,929.00,995.00,100000,4
mixed_insert_heavy,SEQUENTIAL,p95_latency_us,1697.00,1695.00,1834.00,100000,4
mixed_insert_heavy,SEQUENTIAL,p99_latency_us,21216.00,23752.00,23067.00,100000,4
mixed_insert_heavy,SEQUENTIAL,cache_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,SEQUENTIAL,index_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,SEQUENTIAL,fragmentation,0.00,0.00,0.00,100000,4
mixed_insert_heavy,SEQUENTIAL,table_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,SEQUENTIAL,read_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,SEQUENTIAL,write_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,SEQUENTIAL,write_throughput_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV4,overall_throughput,2849.88,2886.17,2964.39,100000,4
mixed_insert_heavy,UUIDV4,p50_latency_us,948.00,960.00,919.00,100000,4
mixed_insert_heavy,UUIDV4,p95_latency_us,1718.00,1762.00,1698.00,100000,4
mixed_insert_heavy,UUIDV4,p99_latency_us,22143.00,22976.00,21007.00,100000,4
mixed_insert_heavy,UUIDV4,cache_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,UUIDV4,index_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,UUIDV4,fragmentation,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV4,table_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV4,index_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV4,read_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV4,write_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV4,read_throughput_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV4,write_throughput_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV7,overall_throughput,2982.86,2946.88,3095.52,100000,4
mixed_insert_heavy,UUIDV7,p50_latency_us,922.00,918.00,893.00,100000,4
mixed_insert_heavy,UUIDV7,p95_latency_us,1654.00,1679.00,1571.00,100000,4
mixed_insert_heavy,UUIDV7,p99_latency_us,22890.00,22536.00,20839.00,100000,4
mixed_insert_heavy,UUIDV7,cache_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,UUIDV7,index_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,UUIDV7,fragmentation,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV7,table_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV7,index_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV7,read_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV7,write_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV7,read_throughput_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV7,write_throughput_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID,overall_throughput,3053.12,2947.44,3055.11,100000,4
mixed_insert_heavy,ULID,p50_latency_us,899.00,915.00,905.00,100000,4
mixed_insert_heavy,ULID,p95_latency_us,1613.00,1696.00,1568.00,100000,4
mixed_insert_heavy,ULID,p99_latency_us,21848.00,22028.00,20164.00,100000,4
mixed_insert_heavy,ULID,cache_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,ULID,index_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,ULID,fragmentation,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID,table_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID,index_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID,read_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID,write_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID,read_throughput_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID,write_throughput_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID_MONOTONIC,overall_throughput,2594.55,2598.56,3003.08,100000,4
mixed_insert_heavy,ULID_MONOTONIC,p50_latency_us,1022.00,995.00,892.00,100000,4
mixed_insert_heavy,ULID_MONOTONIC,p95_latency_us,1878.00,1998.00,1636.00,100000,4
mixed_insert_heavy,ULID_MONOTONIC,p99_latency_us,24750.00,24703.00,22457.00,100000,4
mixed_insert_heavy,ULID_MONOTONIC,cache_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,ULID_MONOTONIC,index_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID_MONOTONIC,table_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID_MONOTONIC,index_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID_MONOTONIC,write_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,ULID_MONOTONIC,write_throughput_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV1,overall_throughput,2839.25,2949.99,3175.73,100000,4
mixed_insert_heavy,UUIDV1,p50_latency_us,953.00,930.00,877.00,100000,4
mixed_insert_heavy,UUIDV1,p95_latency_us,1768.00,1638.00,1535.00,100000,4
mixed_insert_heavy,UUIDV1,p99_latency_us,23652.00,23056.00,20582.00,100000,4
mixed_insert_heavy,UUIDV1,cache_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,UUIDV1,index_hit_ratio,0.93,0.93,0.93,100000,4
mixed_insert_heavy,UUIDV1,fragmentation,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV1,table_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV1,index_size_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV1,read_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV1,write_iops,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV1,read_throughput_mb,0.00,0.00,0.00,100000,4
mixed_insert_heavy,UUIDV1,write_throughput_mb,0.00,0.00,0.00,100000,4
mixed_read_update,SEQUENTIAL,overall_throughput,2961.16,2631.12,2905.52,100000,4
mixed_read_update,SEQUENTIAL,p50_latency_us,942.00,1022.00,953.00,100000,4
mixed_read_update,SEQUENTIAL,p95_latency_us,1597.00,1943.00,1630.00,100000,4
mixed_read_update,SEQUENTIAL,p99_latency_us,23625.00,25348.00,23960.00,100000,4
mixed_read_update,SEQUENTIAL,cache_hit_ratio,0.99,0.99,0.99,100000,4
mixed_read_update,SEQUENTIAL,index_hit_ratio,0.99,0.99,0.99,100000,4
mixed_read_update,SEQUENTIAL,fragmentation,0.00,0.00,0.00,100000,4
mixed_read_update,SEQUENTIAL,table_size_mb,21.27,21.27,21.27,100000,4
mixed_read_update,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,100000,4
mixed_read_update,SEQUENTIAL,read_iops,0.00,0.00,0.00,100000,4
mixed_read_update,SEQUENTIAL,write_iops,0.00,4.71,0.82,100000,4
mixed_read_update,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,100000,4
mixed_read_update,SEQUENTIAL,write_throughput_mb,0.00,0.63,0.28,100000,4
mixed_read_update,UUIDV4,overall_throughput,2968.79,2881.73,2787.63,100000,4
mixed_read_update,UUIDV4,p50_latency_us,931.00,977.00,984.00,100000,4
mixed_read_update,UUIDV4,p95_latency_us,1659.00,1632.00,1775.00,100000,4
mixed_read_update,UUIDV4,p99_latency_us,23862.00,24261.00,24166.00,100000,4
mixed_read_update,UUIDV4,cache_hit_ratio,0.99,0.99,0.99,100000,4
mixed_read_update,UUIDV4,index_hit_ratio,0.99,0.99,0.99,100000,4
mixed_read_update,UUIDV4,fragmentation,0.00,0.00,0.00,100000,4
mixed_read_update,UUIDV4,table_size_mb,25.16,25.17,25.17,100000,4
mixed_read_update,UUIDV4,index_size_mb,0.00,0.00,0.00,100000,4
mixed_read_update,UUIDV4,read_iops,0.00,0.00,0.00,100000,4
mixed_read_update,UUIDV4,write_iops,0.00,1.90,0.00,100000,4
mixed_read_update,UUIDV4,read_throughput_mb,0.00,0.00,0.00,100000,4
mixed_read_update,UUIDV4,write_throughput_mb,0.00,0.60,0.00,100000,4
mixed_read_update,UUIDV7,overall_throughput,2963.31,2806.73,2853.88,100000,4
mixed_read_update,UUIDV7,p50_latency_us,945.00,980.00,951.00,100000,4
mixed_read_update,UUIDV7,p95_latency_us,1611.00,1729.00,1777.00,100000,4
mixed_read_update,UUIDV7,p99_latency_us,23067.00,24158.00,24243.00,100000,4
mixed_read_update,UUIDV7,cache_hit_ratio,0.99,0.99,0.99,100000,4
mixed_read_update,UUIDV7,index_hit_ratio,0.99,0.99,0.99,100000,4
mixed_read_update,UUIDV7,fragmentation,0.00,0.00,0.00,100000,4
mixed_read_update,UUIDV7,table_size_mb,23.67,23.68,23.67,100000,4
mixed_read_update,UUIDV7,index_size_mb,0.00,0.00,0.00,100000,4
